Year,Oct,Nov,Dec,Jan,Feb,Mar,PDOMeanOctToMar,PDOSumOctToMar,PDOMeanNovToMar,PDOSumNovToMar,PDOMeanDecToMar,PDOSumDecToMar
1921,-1.06,-0.26,0.29,-0.66,-0.61,-0.01,-0.385,-2.31,-0.25,-1.25,-0.4266666666666667,-1.28
1922,-0.23,1.92,1.42,1.05,-0.85,0.08,0.565,3.39,0.724,3.62,0.09333333333333335,0.2800000000000001
1923,0.84,-0.6,0.48,0.75,-0.04,0.49,0.32,1.92,0.216,1.08,0.4,1.2
1924,1.1,0.62,-0.36,1.29,0.73,1.13,0.7516666666666667,4.51,0.6819999999999999,3.41,1.05,3.15
1925,-1.25,0.24,0.11,-0.05,-0.14,0.2,-0.14833333333333334,-0.89,0.072,0.36,0.003333333333333332,0.009999999999999995
1926,0.04,0.88,1.19,0.3,0.98,-0.5,0.48166666666666663,2.89,0.57,2.85,0.26,0.78
1927,1.65,1,1.06,1.07,1.73,0.15,1.11,6.66,1.002,5.01,0.9833333333333334,2.95
1928,-0.62,-0.07,0.07,0.96,0.79,0.52,0.275,1.65,0.454,2.27,0.7566666666666667,2.27
1929,-1.31,0.14,0.98,0.97,0.52,0.5,0.3,1.7999999999999998,0.622,3.11,0.6633333333333333,1.99
1930,-0.21,1.24,-0.03,0.97,-1.06,-0.43,0.07999999999999999,0.4799999999999999,0.13799999999999998,0.69,-0.17333333333333337,-0.52
1931,-0.38,-0.31,1.2,0.08,1.56,1.13,0.5466666666666666,3.28,0.732,3.6599999999999997,0.9233333333333333,2.77
1932,-0.17,0.34,1.09,-0.26,-0.58,0.51,0.15500000000000003,0.9300000000000002,0.22000000000000003,1.1,-0.10999999999999999,-0.32999999999999996
1933,-0.29,-0.88,0.02,0.29,0.02,0.15,-0.115,-0.6900000000000001,-0.08,-0.4,0.15333333333333332,0.45999999999999996
1934,-1.19,0.55,-1.1,0.17,0.68,1.34,0.07500000000000002,0.4500000000000002,0.328,1.6400000000000001,0.7300000000000001,2.19
1935,2.1,1.63,1.67,1.01,0.79,-0.11,1.1816666666666666,7.09,0.998,4.99,0.5633333333333334,1.69
1936,0.21,0.13,1.78,1.79,1.75,1.36,1.17,7.0200000000000005,1.362,6.8100000000000005,1.6333333333333333,4.9
1937,2.1,2.65,1.28,0,-0.49,0.38,0.9866666666666667,5.92,0.764,3.82,-0.03666666666666666,-0.10999999999999999
1938,0.76,-0.18,0.55,0.5,0.02,0.24,0.315,1.8900000000000001,0.226,1.1300000000000001,0.25333333333333335,0.76
1939,0.07,0.48,1.4,1.36,0.07,-0.39,0.49833333333333335,2.99,0.584,2.92,0.3466666666666667,1.04
1940,-1.31,-0.88,1.51,2.03,1.74,1.89,0.83,4.9799999999999995,1.258,6.29,1.8866666666666665,5.66
1941,1.19,0.68,1.96,2.14,2.07,2.41,1.7416666666666667,10.45,1.852,9.26,2.2066666666666666,6.62
1942,1.22,0.4,0.91,1.01,0.79,0.29,0.77,4.62,0.68,3.4,0.6966666666666667,2.09
