YEAR,Month,AmphiPtSSS,RaceRocksSSS
1991,JAN,28.34,30.99
1991,FEB,26.77,30.95
1991,MAR,28.64,30.92
1991,APR,29.32,30.87
1991,MAY,30.02,31.6
1991,JUN,31.11,30.85
1991,JUL,30.73,30.98
1991,AUG,29.54,31.26
1991,SEP,29.88,31.07
1991,OCT,30.73,31.21
1991,NOV,28.88,31.46
1991,DEC,28.68,31.17
1992,JAN,27.58,30.96
1992,FEB,27,30.51
1992,MAR,29.08,30.75
1992,APR,29.7,31.12
1992,MAY,30.62,30.9
1992,JUN,30.85,31
1992,JUL,31.03,30.92
1992,AUG,30.84,30.56
1992,SEP,30.74,30.88
1992,OCT,29.82,31.12
1992,NOV,28.18,30.91
1992,DEC,29.15,30.52
1993,JAN,29.02,30.62
1993,FEB,28.18,30.35
1993,MAR,29.25,30.51
1993,APR,27.93,30.83
1993,MAY,28.01,30.71
1993,JUN,29.5,30.21
1993,JUL,30.67,30.5
1993,AUG,30.49,30.76
1993,SEP,30.94,30.78
1993,OCT,31.01,30.97
1993,NOV,30.17,31.1
1993,DEC,29.06,30.85
1994,JAN,28.17,30.84
1994,FEB,28.74,30.64
1994,MAR,27.54,30.73
1994,APR,29.29,31.78
1994,MAY,30.08,31.53
1994,JUN,30.06,31.85
1994,JUL,31.19,31.04
1994,AUG,31.53,31.34
1994,SEP,30.64,31.22
1994,OCT,30.43,31.44
1994,NOV,29.29,31.57
1994,DEC,28.42,31.29
1995,JAN,28.1,30.83
1995,FEB,26.66,30.76
1995,MAR,27.71,30.79
1995,APR,29.54,30.82
1995,MAY,31.1,31.02
1995,JUN,31.32,31.09
1995,JUL,31.17,30.82
1995,AUG,30.81,31.23
1995,SEP,31.02,31.32
1995,OCT,28.9,31.55
1995,NOV,27.04,31.25
1995,DEC,26.71,30.4
1996,JAN,27.22,30.26
1996,FEB,28.54,30.2
1996,MAR,28.59,30.36
1996,APR,28.41,30.71
1996,MAY,30.19,30.84
1996,JUN,31.68,31.04
1996,JUL,31.68,30.44
1996,AUG,31.88,30.88
1996,SEP,31.04,31.18
1996,OCT,29.93,31.33
1996,NOV,29.13,31.27
1996,DEC,29.09,30.76
1997,JAN,27.32,30.53
1997,FEB,28.9,30.41
1997,MAR,27.84,30.73
1997,APR,27.39,30.64
