YEAR,Month,EntrIslSST,PineIslSST,DeptBaySST
1997,JUN,15.45,10.93,15.06
1998,APR,10.11,9.4,10.2
1998,MAY,13.63,9.86,13.62
1998,JUN,16,10.37,16
1999,APR,9.5,7.84,9.19
1999,MAY,12.14,8.43,11.85
1999,JUN,14.72,9.07,14.35
2000,APR,10.38,8,10.16
2000,MAY,11.65,8.84,11.69
2000,JUN,14.69,9.5,14.45
2001,APR,9.32,8.08,9.02
2001,MAY,12.23,8.84,11.75
2001,JUN,15.45,9.52,15.11
2002,APR,9.29,8.22,8.78
2002,MAY,12.43,8.42,11.99
2002,JUN,15.88,9.46,15.41
2003,APR,9.23,8.74,9.27
2003,MAY,12.55,9.55,12.55
2003,JUN,16.2,10.06,15.26
2004,APR,11.97,8.74,10.66
2004,MAY,14.52,9.22,13.91
2004,JUN,17.24,9.94,16.57
2005,APR,10.67,8.54,10.11
2005,MAY,12.84,9.92,12.7
2005,JUN,16.59,10.39,15.94
2006,APR,9.48,8.35,9.13
2006,MAY,12.63,9.07,11.69
2006,JUN,17.1,9.98,15.9
2007,APR,9.75,7.87,8.44
2007,MAY,12.98,8.59,12.22
2007,JUN,16.12,9.42,14.19
2008,APR,9.34,7.31,7.74
2008,MAY,9.92,8.17,10.15
2008,JUN,17.09,8.63,NA
2009,APR,9.63,7.16,8.47
2009,MAY,13.12,NA,11.38
2009,JUN,16.64,9.24,15.68
2010,APR,9.62,8.47,9.16
2010,MAY,12.11,8.99,11.65
2010,JUN,14.56,9.55,14.13
2011,APR,8.3,7.88,8.07
2011,MAY,14.09,8.4,11.14
2011,JUN,14.49,9.17,14.69
2012,APR,9.09,7.81,8.62
2012,MAY,12.26,8.44,11.72
2012,JUN,13.67,9.08,13.76
2013,APR,10.03,NA,9.61
2013,MAY,12.09,9.15,12.44
2013,JUN,16.06,9.65,15.46
2014,APR,9.18,8.49,9.1
2014,MAY,13.02,9.88,13.84
2014,JUN,16.1,9.84,15.71
2015,APR,11.07,10.33,11.03
2015,MAY,15.07,10.56,15.1
2015,JUN,17.57,10.48,17.9
2016,APR,11.38,10.03,11.72
2016,MAY,14.4,10.72,14.36
2016,JUN,16.46,11.37,16.53
2017,APR,9.18,9.33,9.73
2017,MAY,12.18,10.1,13.08
2017,JUN,15.15,11.22,15.26
2018,APR,9.41,8.62,9.51
2018,MAY,14.32,9.65,14.32
2018,JUN,15.01,10.95,15.01
2019,APR,9.62,10.03,9.96
2019,MAY,13.13,9.92,13.36
2019,JUN,16.02,NA,16.59
2020,APR,9.86,8.61,9.86
2020,MAY,13.59,11,13.59
2020,JUN,15.19,10.96,15.19
2021,APR,9.63,9.39,9.9
2021,MAY,12.68,9.73,12.87
2021,JUN,16.62,10.83,16.62
2022,APR,9.03,8,8.73
2022,MAY,10.81,9.63,10.95
2022,JUN,14.16,10.99,14.26
2023,APR,8.89,7.93,8.58
2023,MAY,14.24,9.99,14.23
2023,JUN,15.88,10.33,16.14
