# Merged set of all available records in the PSECrepository
# Variable descriptions and source data available at https://github.com/SOLV-Code/Open-Source-Env-Cov-PacSalmon
# File generated on Wed May 22 22:00:13 2024
Year,PDOMeanNovToMar,EntrIslSSTMeanAprToJun,PineIslSSTMeanAprToJun,SSSIndexJulToAug,SSSIndexJulToSep,PDOSumDecToMarch,PDOSumMayToSep,ONIAvgJanToJun,SST7BuoysMeanMayToSep,Upper20mTempAvgNovToMar,Upper20mTempAvgMayToSep,DeepTempAvgMayToSep,DeepSalinityAvgMayToSept,NOAAOceanCondIdx,ColumbiaRFlowMeanDecToFeb,ColumbiaRFlowMeanMarToMay,ColumbiaRFlowMeanJunToAug,ColumbiaRTempMeanMarToMay,ColumbiaRTempMeanJunToAug,CoastUpIdxMeanDecToFeb,CoastUpIdxMeanMarToMay,CoastUpIdxMeanJunToAug,CoastUpIdxMeanSepToNov,NPacGyreOscMeanDecToFeb,NPacGyreOscMeanMarToMay,NPacGyreOscMeanJunToAug,NPacGyreOscMeanSepToNov,OcNinoIdxMeanDecToFeb,OcNinoIdxMeanMarToMay,OcNinoIdxMeanJunToAug,OcNinoIdxMeanSepToNov,WashTranspMeanDecToFeb,WashTranspMeanMarToMay,WashTranspMeanJunToAug,WashTranspMeanSepToNov,PDOMeanDecToFeb,PDOMeanMarToMay,PDOMeanJunToAug,PDOMeanSepToNov,MEIv2MeanDecToFeb,MEIv2MeanMarToMay,MEIv2MeanJunToAug,MEIv2MeanSepToNov,Pacea_ALPI_Anomaly,Pacea_NPI_Value,Pacea_NPI_Anomaly
1975,-0.35,10.86,7.81,31.267,31.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.6666666666667,20,68.6666666666667,-29.6666666666667,0.779842526666667,0.693643386666667,0.664931843333333,0.934524873333333,-0.566666666666667,-0.733333333333333,-1.1,-1.46666666666667,76.59375,-21.8922651933702,-44.0769230769231,-34.8575498575499,-0.556666666666667,-0.943333333333333,-0.876666666666667,-1.53333333333333,NA,NA,NA,NA,-1.84,1010.02,1.12
1976,-1.528,10.967,7.953,30.523,30.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.3333333333333,3.66666666666667,32,-5.66666666666667,1.11342986666667,2.09899476666667,2.2568419,1.9000603,-1.5,-0.5,0.2,0.766666666666667,-2.83333333333333,-99.9118457300276,-54.6054794520548,-19.0756302521008,-1.53333333333333,-0.843333333333333,0.406666666666667,1.06,NA,NA,NA,NA,-1.12,1010.09,1.19
1977,1.19,11.867,8.43,31.322,31.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.3333333333333,6,61.6666666666667,-22.3333333333333,1.52847696666667,1.38928846666667,1.08179522666667,1.15605381666667,0.7,0.233333333333333,0.366666666666667,0.7,-68.8027777777778,-59.2092391304348,-32.6994535519126,-59.0631868131868,1.32666666666667,0.443333333333333,0.416666666666667,-0.626666666666667,NA,NA,NA,NA,3.03,1005.95,-2.95
1978,0.34400000000000003,12.057,9.287,31.295,30.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,163116.666666667,222923.913043478,179053.260869565,NA,NA,-111,8.66666666666667,46.3333333333333,-1.33333333333333,1.10453535333333,0.552076593333333,0.55797851,0.459728406666667,0.633333333333333,-0.133333333333333,-0.366666666666667,-0.266666666666667,112.646892655367,-48.6318681318681,-9.26702997275204,-20.1222222222222,0.366666666666667,1.17666666666667,-0.55,-0.136666666666667,NA,NA,NA,NA,2.32,1006.49,-2.41
1979,-0.422,11.863,8.263,31.445,31.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,154775.555555556,196728.260869565,135309.782608696,NA,NA,-58,13.3333333333333,49,-45,-0.62114414,-0.81500131,-1.07398596333333,-0.62992959,0.0333333333333333,0.233333333333333,0.0666666666666667,0.433333333333333,69.3621169916435,-60.2861035422343,-95.149863760218,28.6083333333333,-0.78,0.76,0.51,0.846666666666667,0.365,0.235,0.15,0.38,-0.99,1010.55,1.65
1980,0.472,12.067,8.987,31.363,31.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,147043.956043956,186173.913043478,186035.869565217,NA,NA,-110.333333333333,15.3333333333333,77,-43.6666666666667,-1.38887589666667,-0.475883982666667,-0.918769883333333,-0.299145240666667,0.566666666666667,0.4,0.266666666666667,0,128.691460055096,-57.717032967033,-53.6457765667575,5.6043956043956,0.263333333333333,1.26,0.173333333333333,0.606666666666667,0.27,0.57,0.385,0.03,1.67,1007.69,-1.21
1981,0.662,11.49,9.043,31.343,31.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,194722.222222222,186293.47826087,251771.739130435,NA,NA,-129,-0.666666666666667,51.6666666666667,-36.3333333333333,-0.53494929,-0.372529246666667,-0.404988955533333,0.157134343233333,-0.266666666666667,-0.4,-0.266666666666667,-0.166666666666667,57.1472222222222,-69.0570652173913,-18.75,20.828729281768,0.65,1.39666666666667,0.903333333333333,0.466666666666667,-0.285,0.065,-0.41,-0.16,5.09,1004.44,-4.46
1982,0.44,12.233,8.683,31.01,30.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,193633.333333333,320097.826086957,274839.130434783,NA,NA,-69.6666666666667,24,49.3333333333333,-26.6666666666667,-0.184069173333333,-0.894959713333333,-0.638386033333333,-0.777458466666667,0,0.466666666666667,0.866666666666667,1.93333333333333,94.0473537604457,-46.7907608695652,-47.9646739130435,65.4697802197802,0.403333333333333,-0.193333333333333,0.0633333333333333,0.32,-0.43,-0.185,1.905,2.105,-3.21,1010.6,1.7
1983,0.764,12.97,9.68,30.307,30.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,194233.333333333,314239.130434783,223402.173913043,NA,NA,-172,-19,24,-47.3333333333333,0.281384766666667,-0.344720186666667,-0.0451776336666667,-0.11195819,2.1,1.3,0.3,-0.766666666666667,47.1708683473389,-51.7814207650273,-71.6804407713499,-14.4490358126722,0.653333333333333,1.92666666666667,2.57333333333333,0.963333333333333,2.655,2.84,0.32,-0.43,6.69,1003.46,-5.44
1984,1.438,11.823,9.333,30.742,30.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,200901.098901099,281086.956521739,234728.260869565,NA,NA,-70.6666666666667,-14.3333333333333,65,-52,-0.16404819,0.953559626666667,0.507168573333333,0.876282406666667,-0.633333333333333,-0.4,-0.3,-0.566666666666667,83.1448863636364,-84.6593406593407,-86,34.1367521367521,1.46666666666667,1.53,-0.01,0.653333333333333,-0.51,-0.195,-0.23,-0.365,1.68,1006.28,-2.62
